iter	Passed	Remaining
0	139	139659
1	142	71334
2	144	48008
3	145	36279
4	153	30462
5	155	25723
6	156	22250
7	158	19636
8	160	17720
9	166	16517
10	168	15160
11	171	14080
12	172	13108
13	174	12262
14	179	11812
15	182	11210
16	183	10631
17	185	10104
18	187	9666
19	189	9274
20	194	9087
21	196	8730
22	197	8395
23	202	8234
24	204	7961
25	210	7872
26	211	7619
27	213	7397
28	215	7199
29	216	6996
30	217	6804
31	222	6719
32	224	6587
33	226	6423
34	228	6291
35	229	6158
36	231	6025
37	234	5942
38	236	5826
39	237	5701
40	238	5582
41	239	5472
42	241	5366
43	243	5280
44	248	5274
45	250	5191
46	256	5202
47	258	5123
48	261	5066
49	265	5040
50	266	4965
51	268	4887
52	269	4814
53	271	4749
54	277	4761
55	279	4714
56	281	4653
57	282	4588
58	283	4526
59	285	4470
60	287	4418
61	288	4370
62	292	4348
63	293	4297
64	295	4244
65	296	4194
66	297	4145
67	298	4094
68	299	4045
69	300	3997
70	302	3958
71	305	3939
72	307	3900
73	308	3858
74	309	3820
75	310	3780
76	311	3739
77	313	3700
78	314	3661
79	316	3634
80	317	3606
81	320	3584
82	320	3544
83	322	3512
84	323	3481
85	324	3449
86	325	3417
87	326	3385
88	327	3354
89	329	3334
90	332	3317
91	333	3294
92	334	3267
93	336	3240
94	337	3216
95	338	3189
96	339	3162
97	340	3136
98	341	3111
99	343	3090
100	345	3075
101	346	3051
102	347	3027
103	348	3004
104	349	2981
105	351	2960
106	352	2938
107	353	2916
108	354	2895
109	355	2874
110	356	2854
111	357	2833
112	360	2828
113	361	2809
114	362	2789
115	363	2770
116	364	2751
117	366	2737
118	367	2723
119	369	2710
120	370	2694
121	372	2679
122	373	2665
123	375	2650
124	377	2639
125	378	2626
126	380	2612
127	381	2598
128	382	2584
129	383	2568
130	384	2553
131	387	2548
132	388	2534
133	390	2522
134	391	2511
135	393	2497
136	394	2482
137	395	2468
138	396	2454
139	397	2440
140	398	2427
141	399	2411
142	400	2401
143	403	2396
144	404	2384
145	405	2372
146	406	2359
147	407	2346
148	408	2334
149	409	2322
150	410	2310
151	411	2298
152	413	2286
153	414	2274
154	417	2275
155	418	2265
156	419	2254
157	420	2242
158	421	2231
159	422	2220
160	423	2207
161	424	2196
162	425	2185
163	426	2175
164	427	2164
165	428	2154
166	430	2147
167	433	2145
168	434	2138
169	436	2132
170	438	2125
171	439	2115
172	440	2105
173	441	2096
174	442	2087
175	443	2077
176	446	2077
177	448	2069
178	449	2060
179	450	2051
180	451	2042
181	452	2034
182	453	2026
183	455	2019
184	456	2010
185	457	2001
186	458	1993
187	461	1993
188	462	1985
189	463	1977
190	464	1968
191	465	1960
192	467	1953
193	468	1945
194	469	1937
195	470	1929
196	471	1921
197	472	1913
198	473	1905
199	476	1905
200	477	1897
201	478	1889
202	479	1884
203	480	1876
204	482	1869
205	483	1861
206	484	1854
207	485	1848
208	486	1840
209	487	1833
210	488	1826
211	491	1826
212	492	1819
213	493	1813
214	494	1806
215	495	1799
216	496	1793
217	498	1786
218	499	1779
219	500	1773
220	501	1766
221	502	1759
222	503	1753
223	506	1754
224	508	1750
225	509	1745
226	511	1740
227	512	1733
228	513	1727
229	514	1721
230	515	1715
231	516	1709
232	517	1703
233	519	1700
234	521	1696
235	522	1692
236	523	1686
237	525	1681
238	526	1676
239	527	1671
240	528	1665
241	529	1659
242	530	1653
243	531	1647
244	534	1648
245	536	1644
246	537	1639
247	540	1637
248	542	1634
249	543	1630
250	544	1625
251	545	1620
252	549	1622
253	551	1619
254	553	1616
255	555	1614
256	556	1609
257	557	1604
258	559	1599
259	560	1595
260	564	1597
261	565	1593
262	567	1589
263	568	1585
264	569	1580
265	571	1576
266	572	1572
267	573	1567
268	574	1562
269	579	1567
270	581	1564
271	583	1560
272	586	1562
273	588	1558
274	590	1556
275	594	1559
276	597	1558
277	598	1555
278	600	1551
279	601	1547
280	603	1544
281	604	1540
282	611	1549
283	613	1545
284	615	1543
285	617	1540
286	619	1537
287	624	1542
288	626	1540
289	628	1539
290	630	1536
291	631	1532
292	634	1530
293	643	1546
294	655	1566
295	659	1567
296	662	1568
297	664	1566
